iteration,mean_survival,mean_return,loss,mean_value,entropy,lr,eval_survival,jump_ratio,time_s
313,24.60,19.0789,24.3680,22.2092,0.3013,1.0e-04,,,10.2
314,25.67,20.0223,24.7303,22.0890,0.3000,1.0e-04,,,10.2
315,24.63,19.0523,23.5096,21.8116,0.3008,1.0e-04,,,10.2
316,25.11,19.5477,23.2001,21.9305,0.2980,1.0e-04,,,10.2
317,24.76,19.2004,22.8973,21.5815,0.2991,1.0e-04,,,10.2
318,24.59,19.0309,23.0287,21.7468,0.3004,1.0e-04,,,10.2
319,26.32,20.6457,23.7076,21.5948,0.3045,1.0e-04,,,10.2
320,23.61,18.2238,22.5716,22.2305,0.3085,1.0e-04,25.04,0.38,10.1
321,25.18,19.6465,24.0234,22.0101,0.3126,1.0e-04,,,10.2
322,23.88,18.4887,22.3252,22.0215,0.3072,1.0e-04,,,10.1
323,25.88,20.2980,23.0606,21.5734,0.3109,1.0e-04,,,10.2
324,24.73,19.1918,22.5334,21.8667,0.3103,1.0e-04,,,10.2
325,25.28,19.8051,22.6275,21.7286,0.3189,1.0e-04,,,10.2
326,26.48,20.8926,24.3487,22.0142,0.3207,1.0e-04,,,10.2
327,24.68,19.2281,23.9473,22.2048,0.3157,1.0e-04,,,10.2
328,25.68,20.1270,25.0308,22.4061,0.3173,1.0e-04,,,10.2
329,24.98,19.5254,23.1488,22.2727,0.3207,1.0e-04,,,10.2
330,24.96,19.4531,23.5903,22.1381,0.3165,1.0e-04,25.23,0.37,10.2
331,25.60,20.0672,24.1249,21.7571,0.3285,1.0e-04,,,10.2
332,25.20,19.7301,22.7720,21.7901,0.3210,1.0e-04,,,10.2
333,24.35,19.0219,23.1473,22.1932,0.3300,1.0e-04,,,10.2
334,24.64,19.2305,24.0094,22.2853,0.3226,1.0e-04,,,10.1
335,24.42,19.0266,22.9931,22.0545,0.3262,1.0e-04,,,10.2
336,24.64,19.2402,24.1460,22.1411,0.3279,1.0e-04,,,10.2
337,25.76,20.2414,24.2378,22.2226,0.3362,1.0e-04,,,10.2
338,24.27,18.9418,23.7044,22.2832,0.3377,1.0e-04,,,10.1
339,25.34,19.8523,23.2093,22.3640,0.3312,1.0e-04,,,10.2
340,26.56,21.0410,24.5618,22.3862,0.3342,1.0e-04,24.91,0.36,10.2
341,24.66,19.2492,24.2780,21.9885,0.3374,1.0e-04,,,10.2
342,23.96,18.6230,22.6707,21.9631,0.3406,1.0e-04,,,10.2
343,24.80,19.4090,23.2453,21.9189,0.3401,1.0e-04,,,10.2
344,23.87,18.5492,22.1537,21.7913,0.3450,1.0e-04,,,10.2
